"Дата","Price","Откр.","Макс.","Мин.","Объём","Изм. %"
"03 мая 2021 г.","251,86","253,40","254,35","251,12","19,63M","-0,13%"
"30 апр. 2021 г.","252,18","249,74","253,08","249,60","30,95M","-0,13%"
"29 апр. 2021 г.","252,51","255,46","256,10","249,00","40,59M","-0,81%"
"28 апр. 2021 г.","254,56","256,08","256,54","252,95","46,90M","-2,83%"
"27 апр. 2021 г.","261,97","261,58","263,19","260,12","31,01M","0,16%"
"26 апр. 2021 г.","261,55","261,66","262,43","260,17","19,76M","0,15%"
"23 апр. 2021 г.","261,15","257,88","261,51","257,27","21,50M","1,55%"
"22 апр. 2021 г.","257,17","260,21","261,78","255,64","25,61M","-1,31%"
"21 апр. 2021 г.","260,58","258,94","260,68","257,25","24,03M","0,90%"
"20 апр. 2021 г.","258,26","257,82","260,20","256,84","19,72M","-0,19%"
"19 апр. 2021 г.","258,74","260,19","261,48","257,82","23,21M","-0,77%"
"16 апр. 2021 г.","260,74","259,47","261,00","257,60","24,88M","0,48%"
"15 апр. 2021 г.","259,50","257,93","259,93","257,73","25,63M","1,53%"
"14 апр. 2021 г.","255,59","257,48","258,83","255,16","23,07M","-1,12%"
"13 апр. 2021 г.","258,49","257,26","259,19","256,83","23,84M","1,01%"
"12 апр. 2021 г.","255,91","254,71","257,67","254,62","27,15M","0,02%"
"09 апр. 2021 г.","255,85","252,87","255,99","252,44","24,33M","1,03%"
"08 апр. 2021 г.","253,25","252,77","254,14","252,00","23,63M","1,34%"
"07 апр. 2021 г.","249,90","247,81","250,93","247,19","22,72M","0,82%"
"06 апр. 2021 г.","247,86","247,61","249,40","246,88","22,93M","-0,49%"
"05 апр. 2021 г.","249,07","242,76","249,96","242,70","36,91M","2,77%"
"01 апр. 2021 г.","242,35","238,47","242,84","238,05","30,34M","2,79%"
"31 мар. 2021 г.","235,77","232,91","239,10","232,39","43,62M","1,69%"
"30 мар. 2021 г.","231,85","233,52","233,85","231,10","24,79M","-1,44%"
"29 мар. 2021 г.","235,24","236,59","236,80","231,88","25,23M","-0,52%"
"26 мар. 2021 г.","236,48","231,55","236,71","231,55","25,48M","1,78%"
"25 мар. 2021 г.","232,34","235,30","236,94","231,57","34,06M","-1,33%"
"24 мар. 2021 г.","235,46","237,85","238,00","235,32","25,62M","-0,89%"
"23 мар. 2021 г.","237,58","237,49","241,05","237,07","31,64M","0,67%"
"22 мар. 2021 г.","235,99","230,27","236,90","230,14","30,13M","2,45%"
"19 мар. 2021 г.","230,35","231,02","232,47","229,35","46,43M","-0,16%"
"18 мар. 2021 г.","230,72","232,56","234,19","230,33","34,85M","-2,67%"
"17 мар. 2021 г.","237,04","236,15","238,55","233,23","29,56M","-0,28%"
"16 мар. 2021 г.","237,71","236,28","240,05","235,94","28,09M","1,24%"
"15 мар. 2021 г.","234,81","234,96","235,18","231,81","26,04M","-0,40%"
"12 мар. 2021 г.","235,75","234,01","235,82","233,23","22,65M","-0,58%"
"11 мар. 2021 г.","237,13","234,96","239,17","234,31","29,91M","2,03%"
"10 мар. 2021 г.","232,42","237,00","237,00","232,04","29,75M","-0,58%"
"09 мар. 2021 г.","233,78","232,88","235,38","231,67","33,08M","2,81%"
"08 мар. 2021 г.","227,39","231,37","233,37","227,13","35,27M","-1,82%"
"05 мар. 2021 г.","231,60","229,52","233,27","226,46","41,87M","2,15%"
"04 мар. 2021 г.","226,73","226,74","232,49","224,26","44,73M","-0,36%"
"03 мар. 2021 г.","227,56","232,15","233,58","227,26","34,03M","-2,70%"
"02 мар. 2021 г.","233,87","237,01","237,30","233,45","22,81M","-1,30%"
"01 мар. 2021 г.","236,94","235,90","237,47","233,15","25,33M","1,96%"
"26 февр. 2021 г.","232,38","231,52","235,37","229,54","37,82M","1,48%"
"25 февр. 2021 г.","228,99","232,08","234,59","227,88","39,54M","-2,37%"
"24 февр. 2021 г.","234,55","230,01","235,20","229,00","26,34M","0,55%"
"23 февр. 2021 г.","233,27","230,32","234,83","228,73","30,23M","-0,53%"
"22 февр. 2021 г.","234,51","237,42","237,93","232,40","36,45M","-2,68%"
"19 февр. 2021 г.","240,97","243,75","243,86","240,18","25,26M","-1,16%"
"18 февр. 2021 г.","243,79","241,80","243,93","240,86","16,93M","-0,17%"
"17 февр. 2021 г.","244,20","241,32","244,31","240,94","21,67M","0,21%"
"16 февр. 2021 г.","243,70","245,03","246,13","242,92","26,73M","-0,53%"
"12 февр. 2021 г.","244,99","243,93","245,30","242,73","16,56M","0,20%"
"11 февр. 2021 г.","244,49","244,78","245,15","242,15","15,75M","0,69%"
"10 февр. 2021 г.","242,82","245,00","245,92","240,89","22,19M","-0,39%"
"09 февр. 2021 г.","243,77","241,87","244,76","241,38","23,56M","0,54%"
"08 февр. 2021 г.","242,47","243,15","243,68","240,81","22,21M","0,11%"
"05 февр. 2021 г.","242,20","242,23","243,28","240,42","18,05M","0,08%"
"04 февр. 2021 г.","242,01","242,66","243,24","240,37","25,30M","-0,41%"
"03 февр. 2021 г.","243,00","239,57","245,09","239,26","27,16M","1,46%"
"02 февр. 2021 г.","239,51","241,30","242,31","238,69","25,92M","-0,06%"
"01 февр. 2021 г.","239,65","235,06","242,50","232,43","33,31M","3,32%"
"29 янв. 2021 г.","231,96","235,99","238,02","231,35","42,50M","-2,92%"
"28 янв. 2021 г.","238,93","235,61","242,64","235,09","49,11M","2,59%"
"27 янв. 2021 г.","232,90","238,00","240,44","230,14","69,87M","0,25%"
"26 янв. 2021 г.","232,33","231,86","234,18","230,08","49,17M","1,22%"
"25 янв. 2021 г.","229,53","229,12","229,78","224,22","33,15M","1,58%"
"22 янв. 2021 г.","225,95","227,08","230,07","225,80","30,17M","0,44%"
"21 янв. 2021 г.","224,97","224,70","226,30","222,42","30,75M","0,28%"
"20 янв. 2021 г.","224,34","217,70","225,79","217,29","37,78M","3,65%"
"19 янв. 2021 г.","216,44","213,75","216,98","212,63","30,48M","1,78%"
"15 янв. 2021 г.","212,65","213,52","214,51","212,03","31,75M","-0,17%"
"14 янв. 2021 г.","213,02","215,91","217,46","212,74","29,35M","-1,53%"
"13 янв. 2021 г.","216,34","214,02","216,76","213,93","20,09M","0,66%"
"12 янв. 2021 г.","214,93","216,50","217,10","213,32","23,25M","-1,18%"
"11 янв. 2021 г.","217,49","218,47","218,91","216,73","23,05M","-0,97%"
"08 янв. 2021 г.","219,62","218,68","220,58","217,03","22,96M","0,61%"
"07 янв. 2021 г.","218,29","214,04","219,34","213,71","27,69M","2,85%"
"06 янв. 2021 г.","212,25","212,17","216,49","211,94","35,93M","-2,59%"
"05 янв. 2021 г.","217,90","217,26","218,52","215,70","23,82M","0,10%"
"04 янв. 2021 г.","217,69","222,53","223,00","214,81","37,13M","-2,13%"
